,text,sentiment
481013,"@JessInChina That's an unrealized dream of mine. I've always been fascinated by it, &amp; read many books, but no time for actual study. ",negative
194168,@mollstam Bitch! I wantes to work at Stockholm marathon ,negative
1291811,Iss at work AGAIN!!! She loves Josh sooooo much  x,positive
178874,@JennyLouis_420 why baby? ,negative
256940,"@SunnySmile4u Oh, I'd love some rhubard pie! My rhubard plants are gone now - turned over to flower beds.  I miss being able to pull some ",negative
351049,"@x_sharon @PoyntlasLove he thinks ive been to college these past few days, when i've skived off :/ dont like lyinggg ",negative
1451246,@PhantomV48 appreciated. ,positive
507225,"@doverbey Yes, I consider you a great friend. I will miss you tomorrow  Have fun in NY!!! Give everyone hugs and smooches for me!",negative
925783,I love my birthday present...this is so much fun!!   Its all comin back to me now...,positive
235901,ok for all my day 26 fans out there here's the pics from last nite sorry yall cudnt make it  http://twitpic.com/photos/Jennytg13,negative
970058,"@burcuakyol Following on from my previous tweet...Not very successfully, but I do try ",positive
42414,@duckyztwit Sorry to hear about your grandfather. ,negative
208066,"@ElmleaUK If it did, mine was defective ",negative
904243,@marika75 music-habits - I'll join your study ,positive
913150,@kgthagreat yea tre hood claim thats atl theme song which it aint!! lol  but its a youtube vid. that i posted yesterday,positive
1414458,probably gunna watch twilight all day ,positive
450659,i'm feeling a little down  i don't know why!!,negative
798040,"@tantamani Wow, that really sucks   So sad to see when that happens, when it's believed to be the only way out. ",negative
1412028,@davidhaskoll oh man! Is that the 1st of 3? Can't wait for wed! ,positive
818800,"wishes a HAPPY and peaceful EASTER to all of his Orthodox Friends!... Let Resurrected Savior blesses you all, my dear People! ",positive
244057,@devilgirl7734  even if I can't spell choir!!!!! lol,negative
526737,@GamerTraveler It's a beautiful city and there's so much culture you can't possibly experience it all in a month.  I miss the opera. ,negative
1189307,getting out of the house  shopping at the Oaks and out to lunch with ma friend!!,positive
1563737,@djstevecox steve I can't copy links with the G1. Ill do it tonight late. Send me ur email.   jasonsteven617@gmail.com,positive
592663,Lakers parade this mornin! i got a tan  Jus woke up from my 3 oclock nap..lol damn,negative
930321,"going out to lunch lapar udah , thinking of my baby ",positive
47000,"@_kate21301427_ Ahhh no, what was wrong with you  Nothing much really went to see hannah montana the movie yesterday you? Schools crap ha!",negative
485975,@damond_vip but I told you I didn't have my car!!! ,negative
1097129,@ceremonia Need Breton workshops under the sun ,positive
348610,"@kterwin I know, it sucks ",negative
620247,work outs are no fun without some Travis ,negative
1183631,"@EmmaJaneR hehehe well it was mysterious alright! I read that you were on a lovely holiday, tho? Niceee  How's you?",positive
501381,Going to bed very upset  in which i normally wont do but I dont  have any other Choice..Sometimes its just out of ur hands...,negative
171094,I HATE when my alarm doesn't go off ,negative
1036072,@danicafrancia I've been told I'm good at that. ,positive
1396384,"@StaciJShelton Yes, it's that time! ",positive
40829,Just woke up in the most horrible pain yet and bleeding a bit. I need prayer and strength and rest. ,negative
704832,@snicketeer the flight was long and boring. I couldn't fall asleep ,negative
1040720,"I went on the stickam chat again tonight. So much fun! Signing off, good night!  ",positive
1026795,@ummm_Stacy So for which colour did you decide? ,positive
414699,@patricknorton and all over Canada as well.... And I was just getting used to the savings on gas too ,negative
771782,Still working ,negative
1190542,isn't even to austin yet and  already met an rd from another property.  excited!,positive
1380815,@allyeezy okay ill pimp your twitter then?  what's your ym,positive
598574,I have to get my hair cut just because it's a job requirement. But I don't want to do it. I DON'T WANT TO DO IT (period) ,negative
1290592,@conceptsguy Wow! That is absolutely incredible. ,positive
1078099,@tnorman1 very cool that's awesome...makes me feel like I do have something worthwhile to say every now &amp; then ,positive
838651,new to twitter ,positive
516155,@RaspberryHatter yeah i hate that people can be like that  it was actually horrible. and so young.. i sound heaps old now haha.,negative
78318,is tweaked that Clay Walker was at CS and I wasn't there ,negative
1414002,@mydentonmusic mostly.  One more carload and I'm golden ,positive
1459874,Also two of my sistas are off again this month  one going Portugal with her college and the other going tunisa with her man sooo happy 4..,positive
439277,i wish i could see @mitchelmusso ,negative
524606,I don't want to give up on twitterific !! ,negative
1198117,@wolfchild59  I got one from Paintstik... I just dumped it and moved along... ,positive
1031792,@b_durden omg i heard about that cart. can you take me?  and i'm betting wendy would be interested too. lol,positive
741860,@prenvo still no sign of this update ,negative
266597,@nakiasmile  whos gonna stay up with me,negative
1399019,@jc Doesn't get much better than that ,positive
1326501,@childrensjewell Sounds like thats what you need to do then! ,positive
175575,"@diana_music im always blunt with my feelings, never seems to do any good ",negative
1395074,@dovella fixed links for you in IE8 ,positive
1577780,@b50 Thanks.. ,positive
114717,woke up with a stomach ache!!! ,negative
545921,Picked up Edge 200 over lunch. Haven't opened it yet so I don't know what the cover is. Hoping it's a C64-era cover. Will probably not be ,negative
410953,Cricketers with Patrick to use my bar tab cuz i'm poor      come!,negative
649280,@lilluci44 *whispers* I don't think I'm friends with him on myspace ,negative
864892,@MrsFiddlesticks Morning Julie. I'm already on the farm  full of noms ,positive
1231979,"@camillaaxo Hey Camilla! It's Patrice,13,Philippines(@pjaramirez16) how are you? LOVE LOVE YOU SO SO MUCH! &lt;3 ",positive
760537,"Ugh, summer isnt going as planned ",negative
1051153,@lilymalcolm you know it lol ,positive
890867,@khopkinson it's been warm and sunny here today ,positive
658041,ohhh and it say the art contest is over on Monday  so i better hurry on my pic!!!,negative
161736,@joanne7964 yeah I was like oh oh oh yeah that's it but then she said no  lol bummer,negative
1260747,well i getting off... just wanted to say hi! i have alot of work to do that i didn't do yesterday  good night!,positive
1430686,@proBRUCEr welcome ,positive
1520371,is talking to Troy on MSN. I love him ,positive
556199,@angelicbiscuit I know It sucks!!! istayed up till midnight  where are u at?,negative
1360037,Tom were on our way  lol,positive
813807,Had fun at the carnival with the bff  middle school jid are sluts these days! Gonna visit my husband..i miss him&lt;3,positive
474337,Has had a very expensive two days with legal costs and replacing my watch ,negative
920739,@SilPho What are you on about laddy  - warming up for Derren Brown?,positive
752504,"Mama, don't take my Kodachrome away!  ",negative
1336119,loves the Coda Codigniter comments plugin purely for the auto-end statments ,positive
440710,"Back in ohio, eatin lunch then takin a nap! I've got the worst headache!!! ",negative
114352,trying to put xp back on laptop and having major difficulty and i dont know why ,negative
658309,HARD WORK TODAY  I've just finished....grrr,negative
1518589,167 days until New Moon (give or take a few...)  â¥,positive
1105397,Alright on my phone ill keep you updated as much as possible brother going crazy taking many pics of beantown  ha later,positive
772846,@princesshils He posted a series of tweets with revealing photos of himself but I guess he changed his mind and took them down ,negative
764860,@clutch_22 My lunch gripe: I got slammed with work and had to postpone lunch...til AFTER a long meeting. No food 'til 2pm. ,negative
864202,"@lgerrits Yes, it was  Nice picture indeed, retweeted it already... ;-)",positive
243454,I was so excited to be done babysitting after today only to find out I have to stay another day ,negative
1426491,@TinaS71 No probs... thanks for your sweet offer  So wish I could meet you...,positive
1070387,going to play in the rain ,positive
1028282,"And still life suprises me sometimes. Anyway, good morning! I got a certain feeling today's going to be better! ",positive
1574960,@MsFamous thx  what that cali like?! Been a minute 4 me!,positive
994756,@phish4rob aww i didn't write you notes this time cuz I'm only gone for four days!!  I'll send you lots of texts ,positive
1005108,Going to The Talent Farm today ,positive
1006348,@lidles awwww i wanna pair!!  hehe ur soo cutee ily and yes freeeeeeeezinggg,positive
90326,@msmoore2u she didnt get here till too l8 ,negative
1530115,LOL! Mac OS X Dictionary shows &quot;liberate&quot; in the Thesaurus for pilfer ,positive
1033260,#3wordsaftersex You're an idiot! That's my favorite ,positive
702705,Work is boring. Im tired ,negative
813036,in 15 min... leaving to watch fast and furious... I hope its good. ,positive
797666,and i miss naz. ,negative
1121922,"@bnpositive  I appreciate the kind words from you and @AmyStark.  Though, I'm really just the court jester of twitter ;)",positive
726164,@mileycyrus I LOVE YOU.. please come to Malaysia  don't go London again!!,negative
1503009,"@SethsMaisy i'm sure you're jealous, maisy. bahahaah. just kidding. ",positive
1046473,"Back 2 the old me, guys! Or trying anyway!  on my way 2 c: @genepark @misschanel931 (i hope!) &amp; others! ",positive
1007379,Loving my new toys  Ended up exchanging my HD for a Mybook.. soooo trustworthy  got a wifi network too now.. and I tapped into (cont),positive
14604,Staying home on Saturday night! ,negative
160902,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",negative
484678,"@DJMoReX Yeah, Im just jealous really. @xxlea parties more on Mondays then I do all weekend! ",negative
935585,"@fAsHiOnCrAvEr thanks for the love  . btw If you follow us, you'll get a $5 discount coupon in your DM box.",positive
1503950,"@kalyanvarma You also need to watch 3 years of ST:TOS, 7 of ST:TNG, 7 of STS9, 7 of ST:VOY, 4 of ST:ENT and 10 Star Trek movies... ",positive
1112408,Trying to find a photographer for my sister ,positive
925110,@corkyloowho  well im going to bed I am falling asleep at my laptop ttyl xox,positive
177989,Hmmm... he's so lovely. I wish he was here now. I'm tired but can't sleep ,negative
912010,"thanks mom, we love you too. ",positive
738968,oh and heather i would upload my slam dunk pictures but there not letting me on facebook or myspace  its a nightmare!,negative
1113139,Haha yes! Just like old times...5 million people 1 car 2 headaches = best trip to fall creek falls ,positive
1547048,"Video: mariahtolonen: WHAT SONG IS THIS? I need to know in order to keep living  ah, sorry. you reblogged... http://tumblr.com/x5i21ws5o",positive
1512401,"@JoelMadden Be nice, she's preggo. lol  ",positive
613632,"Dang it!  Missed opportunity, someone already bought the tile ",negative
509831,"@Lanybum very sad, although I note he didn't have the swine flu virus which is some small mercy. I think he was just v premature ",negative
473084,@University ,negative
641215,@onebreath It's the exact same reaction I had when I saw the bit about it. LOL. it's so sad how everything with them is now a trainwreck. ,negative
139449,i hate when you wake up from a really really good dream and realize it was all just a dream. ,negative
445579,@mitchelmusso Awh! I wish i could have been there! ,negative
863855,done with exams and going home in about 12 hours   apartment in only two weeks! &lt;3,positive
449502,@bowwow614 I wanna chill poolside ,negative
1430531,Off to Buda-Kyle. Glad I don't have to leave 1.5 hours in advance anymore. Just 45 mins ,positive
1444493,@bassnectar So I love you! You're so frigginamazing...and my twittername is so for you  keep up the good work &amp; come to birmingham again.,positive
967391,Star Trek was so so so good. ,positive
565540,doing laundry..almost broke my neck going down those stairs.I wish i was in L.A for the parade ,negative
1051602,"Thanks kids! #followfriday going out to @kishkash_KT, @martmcb &amp; @matthewgibbs ",positive
798141,@BrandiLinnea You actually like the CP? It made my hair dry up and look like a cotton ball  Fantasiaq IC will give you the same results,negative
288526,"@ismaelburciaga bro, u haven't answered my question I left u on FB.  so that means i'm still crying on the insdie.",negative
622536,900 tweets. Still not as sup'e qewl as Savbear. ,negative
1041082,@FaeryQueen07  good @Mattdavelewis is deserving he is such a cute and sweet guy(and yes Matt i am flirting with you) hahahaha lol  XX,positive
464817,"Grand Total : TV:92,OVA:12,Movies:10,Specials:12,Episodes:2,422,DLEps:818,Days:39.34  http://myanimelist.net/animelist/got4close ",negative
528202,311 is in town tonight...too bad I don't get to see them.  Sucks not having enough money.,negative
1293272,@mrsfeatherbelle  Hey thats' great; I am more than a little nuts myself! I will check Felicity's site out shortly ,positive
729196,"The streetcar we booked to go &amp; see Dad today was broken into during the night. Now we have no transport except slow, Sunday trains ",negative
167134,Is almost pacing while waiting for UPS truck with my package from Ichiban Kan -- probably not until 18:00 EST ,negative
175839,@kingivn Have fun amorsote even tho u forgot my bday ,negative
1407510,"coffee time with my best friends!  there is so many gossips to talk about â if it will star to rain now, you know why ;-)",positive
66629,"i'm loosing followers  i guess i just need to start talking about #hoppusday, the #swineflu, or #Kelloggs!??!",negative
114612,"I miss my Atlanta family, they're having so much fun without me ",negative
688525,just got up hahahah  i feel extremely ill again  but on a brighter note mum and dad bought me wall candy wallpaper today ,negative
281785,@jesusmbaez I just wish I could boot my 64-bit copy of Vista Home Premium in Parallels/VMware Fusion/Virtual Box    .,negative
716721,"hates that when life hits ya, it don't stop with 1 punch.... ",negative
1008848,@1sweetwhirl Thanks for the love gorgeous. I really needed it today ,positive
484676,"Okay, now my TwitPic isn't working. I think @JayLittle has to be with me for it to work. ",negative
1508277,I loooovee Carl Fredricksen &amp; Russell&lt;3 Greaaat movie ,positive
350805,Had to leave #fowa speed networking early far too hot even with an ice cold beer! ,negative
70496,Feelin like ass   Good night...,negative
1065652,@hjmart@Aartist1 http://bit.ly/14rTSZ.......thanks so much for giving you link for your painting again I will save it now...   ,positive
375523,dave leaves tomorrow for 3 weeks im gonna miss him.... this sucks... and he took all my money ,negative
357647,@zeqox I dnt think i can  got appointments with a martial arts dude tmro at 11...dnt think i can make.can you record the movie on mob? ,negative
1442299,"I really enjoy talking to you, but we haven't talked in like three months. What happened? I am an asshole I admit it, but I am a nice guy ",positive
103418,&quot;Lost&quot; was a little disappointing last night.... I have nothing to watch now ,negative
1350444,"@_VI Haha, they should pay you for advertising. ",positive
1015369,@WomenCan A bit tired today. Waited nearly 6 hours for flight today. Am at a Melb station awaiting train. Bed in my sights ,positive
105120,@jabop I'd LOVE to go ride but i just got off work and have finals up the butt  enjoy the weather for me!,negative
1477757,@sdwhite exactly for that reason. the choice to take a call or not. ,positive
138738,Does someone know who's the real Jennette Mccurdy ,negative
1123676,@samantharonson very true! Stay safe!!! ,positive
550275,@oliviamunn You should have taken it all off ,negative
782966,@idealhut and why don't you reply me ,negative
1220595,@kimbarweee omg i want to do both ! how are you these days kimmmm ? ,positive
34303,@bloowriter re: &quot;Allergies are a bitch!&quot; I hear that I'm suffering over here also ,negative
516421,I wan my happy life back ,negative
1366673,haha. tetris friends has iceagetetris  you help scrat get nuts  ROFL! i got up to 'bushel 6' ROFL .. and then died,positive
461425,At work Oo mally khlg ,negative
802970,@njpaust I will indeed. ,positive
310881,"@_helloheart Aw  Sorry, mukhang na-remove na ung account nya",negative
1111829,Woke up and the real ninja turtles was on tv. Life ,positive
1036685,@Bugwump Ok good!   I am happy to share my GF Moo Goo Gai Pan with you and Heather at the retreat. ,positive
205176,"Just when I was starting to get back into it, ILX is gone. First Plan B and now I Love Music. A sad week for music writing. ",negative
1192861,"lookinf for like minded people. Hair Artist, Make-up Artists, Inventors. Looking to cross Hairs with ",positive
1372858,"Soooo thankful today is over; ended, oddly enough, with getting my watched replaced and gaining 30 dollars for free! ",positive
192708,@amandaaaplease haha was the movie thaat good? ugh i have to pay for my classes soon too  lol,negative
1056490,@EMPRESSYEN You know it aint a thing! ,positive
1139222,"Lost my voice! But in a more croaky than husky way..unfortunately. Surprisingly drunk last night, up just now getting some water ",positive
1003737,gathered energy for the last day at work this week. ,positive
1291776,"is offfff! see you tomorrow, tweeters ",positive
1096460,@thepetshopboy A strong trait of luvvies is that they have lots of anecdotes about funerals.  We need to find you some. Did you see Venus?,positive
784589,Bad news is my phone is still missing. Good news is I HAVE KOALA-PAN. Bad news is I have no keitai to take photos of the koala-pan. ,negative
1054331,is working till six THEN seeing a brand new pupppppy ,positive
888164,is baking some yummy muffins  ,positive
890963,new tattoo ,positive
143498,Moose Detail 9-2 last Day i am sad  Love the 315,negative
849471,Spring clean today  got so much junk lol wish me luck xxxxx,positive
1074851,@garbagescars LOL you should still do it anyways lol ,positive
1183276,"@Amanda_Holden Good luck! Your amazing! Btw, you looked stunning yesterday,as normal ",positive
694549,Restoring my iPod Touch...3.0 killed it ,negative
677022,My new fancy smoothscrolling Logitech mouse has unballanced scroll wheel. Rolls backward on its own after I let it go. ,negative
369862,"@Michaelaax aw, you bum  leaving me all aloney (u)",negative
381715,Bowling hurts ,negative
472107,gonna go for a shower before amy comes round for me to fix vista yeahhhh vista ,negative
156617,I hope deliberations tomorrow don't take forever. ,negative
697418,Baking cookies for my last day at Forever21! ,negative
341007,where is the sun? ,negative
500034,Is feeling really ill! Being sick sux dude ,negative
1329678,"@schoolgirl yup, frosh.  we were all scared talaga when the teacher told us abt it. Baka kasi nakasabay namin sa elevator! :-S or naka ...",positive
955312,making breakfast ,positive
60487,@LynnetteAstaire i make some bomb ass pancakes. i'll make some for you!! was supposed to have pancakes 2 mornings in a row and was denied ,negative
952428,listening to know your enemy by Greenday .. awesome ,positive
1373798,@dianashome hola!  be glad you're waiting for a week to come. its flooding here. bad storm.,positive
1585597,"After a long lunch w/ our boss, dropped by a mall to do last min shopping for tomorrow's theme shoot. Gonna nap b4 work. ",positive
578814,@elizapi The link won't work ,negative
649328,had a weird nights sleep and feels tired cant wait for @markfriend to get here and @lenaalli im sorry i took the piss makin you wait  &lt;3,negative
1123939,listening to some music after making my mom laugh  love my boldy,positive
377083,My old co-worker got laid off from her job after 8 yrs. I told her to never stop learning &amp; always add new skills but she didn't listen ,negative
835333,@PoFlow3r Morning  Trying to get myself together so I can get my praise on... *yawn*,positive
809716,Hahahaha. ddlovato you rock. Just so you know jessemccartney. LOVE THIS SONG. ,positive
514133,"@MamzelleF @websiteowner @stereophonics ooh, i miss beer. cant drink it anymore  allergies. just have to drink pints of voddie instead :o)",negative
80531,ryan's amp is getting fixed. The transformer broke ,negative
619093,@icanhasdinos ... even if i explicitly said something like &quot;IF YOU FAV UR A FAGET&quot; in the description. i keep it on dA just for the lulz ,negative
363196,"@JordanCalia Where was it playing? Louise and I went at AMC on the Commons, but not 3D. ",negative
696932,I think I'm going up a size with all the eating I've been doing lately ,negative
1243476,Going through proofs from yesterday - already very happy with some early shots. ,positive
513660,@mayshah my parents die2 dun allow :S. i bet i'll miss her terribly ,negative
1202312,@kinkyb24 I know  I hope my moms isn't all turn this brain drain blah blah blah ugh she's SO effing annoying!!!!,positive
290663,Hope noone's gonna be mad at me for blocking them  Starting to block people now...jsyk.,negative
360769,Enrollment paperwork FAIL. No military ID or health insurance for me ,negative
844807,@winafred_jen Having visions of you sitting in SB pouring some out for your homies.I hope you didn't! What a waste that would be  ,positive
710553,The only downside to the whole night is that my camera is broken  A week before I go on holiday too! I'm hoping it can be mended quickly,negative
